ID,Mission,Type,Subtype,Weight (g),Weight (kg),Pristine (%),,Mission,Sample weight (kg),Weight diff,Lunar module (LM),LM mass (kg),LM mass diff,Command Module (CM),CM mass (kg),CM mass diff
14004,Apollo14,Soil,4-10mm,33,0.033,75.63,,,,,,,,,,
14006,Apollo14,Soil,>10mm,12.13,0.01213,61.29,,,,,,,,,,
14007,Apollo14,Breccia,Fragmental,3.67,0.00367,100,,,,,,,,,,
14008,Apollo14,Breccia,Regolith,4.35,0.00435,100,,,,,,,,,,
14009,Apollo14,Breccia,Regolith,1.09,0.00109,100,,,,,,,,,,
14010,Apollo14,Breccia,Regolith,1,0.001,73.2,,,,,,,,,,
14011,Apollo14,Breccia,Regolith,0.68,0.00068,100,,,,,,,,,,
14041,Apollo14,Breccia,Regolith,166.3,0.1663,97.46,,,,,,,,,,
14042,Apollo14,Breccia,Regolith,103.2,0.1032,92.55,,,,,,,,,,
14043,Apollo14,Breccia,Unclassified,5.94,0.00594,0,,,,,,,,,,
14045,Apollo14,Breccia,Regolith,65.24,0.06524,95.82,,,,,,,,,,
14047,Apollo14,Breccia,Regolith,242,0.242,65.25,,,,,,,,,,
14049,Apollo14,Breccia,Regolith,200.1,0.2001,78.23,,,,,,,,,,
14051,Apollo14,Breccia,ImpactMelt,191.3,0.1913,97.49,,,,,,,,,,
14053,Apollo14,Basalt,Feldspathic,251.3,0.2513,59.18,,,,,,,,,,
14055,Apollo14,Breccia,Regolith,111,0.111,88.76,,,,,,,,,,
14056,Apollo14,Breccia,Regolith,6.38,0.00638,100,,,,,,,,,,
14057,Apollo14,Breccia,Regolith,5.51,0.00551,100,,,,,,,,,,
14058,Apollo14,Breccia,Regolith,4.53,0.00453,100,,,,,,,,,,
14059,Apollo14,Breccia,Regolith,8.68,0.00868,49.19,,,,,,,,,,
14060,Apollo14,Breccia,Unclassified,2.5,0.0025,100,,,,,,,,,,
14061,Apollo14,Breccia,Regolith,3.11,0.00311,100,,,,,,,,,,
14063,Apollo14,Breccia,Fragmental,135.5,0.1355,61.74,,,,,,,,,,
14064,Apollo14,Breccia,Fragmental,107.5,0.1075,92.45,,,,,,,,,,
14066,Apollo14,Breccia,Fragmental,509.8,0.5098,78.44,,,,,,,,,,
14068,Apollo14,Breccia,ImpactMelt,35.47,0.03547,77.97,,,,,,,,,,
14069,Apollo14,Breccia,Fragmental,24.87,0.02487,97.01,,,,,,,,,,
14070,Apollo14,Breccia,Fragmental,36.56,0.03656,83.12,,,,,,,,,,
14071,Apollo14,Basalt,Unclassified,2.16,0.00216,79.17,,,,,,,,,,
14072,Apollo14,Basalt,Olivine,45.06,0.04506,55.37,,,,,,,,,,
14073,Apollo14,Basalt,KREEP,10.35,0.01035,33.62,,,,,,,,,,
14074,Apollo14,Basalt,Feldspathic,5.16,0.00516,87.54,,,,,,,,,,
14075,Apollo14,Breccia,Feldspathic,4.66,0.00466,77.58,,,,,,,,,,
14076,Apollo14,Breccia,Fragmental,2,0.002,70.3,,,,,,,,,,
14077,Apollo14,Basalt,Feldspathic,2.77,0.00277,82.85,,,,,,,,,,
14078,Apollo14,Basalt,Feldspathic,8.3,0.0083,86.12,,,,,,,,,,
14079,Apollo14,Basalt,Feldspathic,3.17,0.00317,92.71,,,,,,,,,,
14080,Apollo14,Breccia,Fragmental,1.94,0.00194,100,,,,,,,,,,
14081,Apollo14,Breccia,Fragmental,0.84,0.00084,100,,,,,,,,,,
14082,Apollo14,Breccia,Fragmental,62.63,0.06263,84.63,,,,,,,,,,
14083,Apollo14,Breccia,Fragmental,13.37,0.01337,19.93,,,,,,,,,,
